
"BrandName","ItemName","ItemPrice","ItemDiscount","ItemDeliveryDate"
"Britannia","Britannia Jimjam Sandwich Biscuits 138 g","?25.00","28% Off","Delivery Between 2nd Feb to 4th Feb"
"Sunfeast Dark fantasy","Sunfeast Dark Fantasy Bourbon Biscuits 120 g","?17.00","51% Off","Delivery Between 2nd Feb to 4th Feb"
"Wheafree","Wheafree Gluten Free Elaichi Cookies (200g), Jeera Cookies (200g) & Ajwain Cookies (200g) Combo Pack | Lactose Free | No Maida | Best Tea Time Snacks","?355.00","4% Off","Delivery Between 8th Feb to 9th Feb"
"BrandName","ItemName","ItemPrice","ItemDiscount","ItemDeliveryDate"
"Bikaji","Bikaji Masala Munch Soya Sticks 200 g","?53.00","33% Off","Delivery Between 2nd Feb to 4th Feb"
"Bingo","Bingo Achaari Masti Mad Angles 130 g","?33.00","34% Off","Delivery Between 2nd Feb to 4th Feb"
"Kurkure","Kurkure Masala Munch 77 g","?27.00","10% Off","Delivery Between 2nd Feb to 4th Feb"
"BrandName","ItemName","ItemPrice","ItemDiscount","ItemDeliveryDate"
"Cadbury","Cadbury Dairy Milk Roast Almond Chocolate 36 g","?38.00","15% Off","Delivery Between 2nd Feb to 4th Feb"
"Cadbury","Cadbury Dairy Milk Fruit & Nut Chocolate 36 g","?38.00","15% Off","Delivery Between 2nd Feb to 4th Feb"
"Munch","Munch 18 Yummy Treats 160.2 g","?80.00","20% Off","Delivery Between 2nd Feb to 4th Feb"
